muestra,MAE,RMSE,MAD_error_abs,media_y,media_pred
train,0.002475454437408671,0.002475454437408671,0.0009497814956253275,0.08366005628429218,0.08366986
test,0.18420148569992814,0.18420148569992814,0.023053835500126012,0.05549778556604302,0.054508366
